Timestamps are UTC timezone,https://www.CryptoDataDownload.com
date,symbol,open,high,low,close,volume_btc,volume
2019-10-11 08-AM,BTCUSD,8396.2,8396.2,8301,8362.22,682.28,5694320.36
2019-10-11 07-AM,BTCUSD,8435,8444.98,8389.33,8396.2,286.74,2412725.89
2019-10-11 06-AM,BTCUSD,8444.99,8444.99,8383.28,8435,408.78,3439746.17
2019-10-11 05-AM,BTCUSD,8729.56,8826,8366.72,8444.99,2836.49,24273728.63
2019-10-11 04-AM,BTCUSD,8579.99,8757.24,8565,8729.56,1443.75,12538813.05
2019-10-11 03-AM,BTCUSD,8544.59,8582.56,8530.94,8579.99,278.63,2386777.21
2019-10-11 02-AM,BTCUSD,8549.35,8558.49,8530,8544.59,175.47,1499082.09
2019-10-11 01-AM,BTCUSD,8534.69,8550,8512,8549.35,194.04,1655610.59
2019-10-11 12-AM,BTCUSD,8587.5,8596.01,8518.78,8534.69,564.34,4821466.79
2019-10-10 11-PM,BTCUSD,8588.02,8597,8557.27,8587.5,205.36,1761918.96
2019-10-10 10-PM,BTCUSD,8565.56,8593.73,8555,8588.02,261.88,2246241.28
2019-10-10 09-PM,BTCUSD,8579.18,8614.59,8550,8565.56,443.26,3804358.27
2019-10-10 08-PM,BTCUSD,8579.76,8606.61,8559.01,8579.18,333.07,2859276.65
2019-10-10 07-PM,BTCUSD,8545.83,8579.76,8545.75,8579.76,321.22,2749719.64
2019-10-10 06-PM,BTCUSD,8522.17,8558.44,8515,8545.83,344.67,2940732.43
2019-10-10 05-PM,BTCUSD,8545.02,8559,8519.54,8522.17,336.5,2875759.1
2019-10-10 04-PM,BTCUSD,8561.49,8595,8540,8545.02,331.9,2839009.04
2019-10-10 03-PM,BTCUSD,8511.35,8576.01,8494.68,8561.49,384.71,3286271.08
2019-10-10 02-PM,BTCUSD,8485.61,8521.44,8485.58,8511.35,383.0,3256200.83
2019-10-10 01-PM,BTCUSD,8488.27,8488.27,8475.27,8485.61,49.86,423058.21
2019-10-10 12-PM,BTCUSD,8556.01,8556.01,8452.5,8488.27,790.95,6720042.19
2019-10-10 11-AM,BTCUSD,8535,8559.64,8520.84,8556.01,200.12,1709454.35
2019-10-10 10-AM,BTCUSD,8534.87,8549.45,8492.17,8535,525.57,4478705.68
2019-10-10 09-AM,BTCUSD,8572.98,8572.98,8511,8534.87,360.94,3084773.58
2019-10-10 08-AM,BTCUSD,8622.78,8631.79,8560.73,8572.98,271.48,2333212.37
2019-10-10 07-AM,BTCUSD,8607.24,8660,8584.94,8622.78,410.25,3540387.36
2019-10-10 06-AM,BTCUSD,8571.55,8618,8558.42,8607.24,275.05,2364370.49
2019-10-10 05-AM,BTCUSD,8590,8590,8561.78,8571.55,225.08,1930890.3
2019-10-10 04-AM,BTCUSD,8568.91,8604.43,8568.91,8590,207.55,1783446.04
2019-10-10 03-AM,BTCUSD,8566,8597.3,8554.22,8568.91,368.19,3157273.08
2019-10-10 02-AM,BTCUSD,8562.01,8566,8530.86,8566,324.12,2771649.39
2019-10-10 01-AM,BTCUSD,8580.57,8589.48,8561.85,8562.01,276.72,2372170.63
2019-10-10 12-AM,BTCUSD,8590,8618.83,8580.56,8580.57,260.94,2242728.66
2019-10-09 11-PM,BTCUSD,8580.48,8619,8580.48,8590,264.61,2275622.79
2019-10-09 10-PM,BTCUSD,8564.13,8638.28,8560.4,8580.48,387.04,3330459.58
2019-10-09 09-PM,BTCUSD,8587.99,8622.97,8532.7,8564.13,618.31,5298925.29
2019-10-09 08-PM,BTCUSD,8605.95,8635,8585.99,8587.99,383.16,3298291.43
2019-10-09 07-PM,BTCUSD,8616.59,8630.13,8581.06,8605.95,548.86,4721800.82
2019-10-09 06-PM,BTCUSD,8637.99,8695.25,8600,8616.59,881.42,7614138.27
2019-10-09 05-PM,BTCUSD,8581.07,8661.93,8580,8637.99,541.55,4663514.5
2019-10-09 04-PM,BTCUSD,8570.85,8651.74,8516.75,8581.07,1276.96,10966684.34
2019-10-09 03-PM,BTCUSD,8452.11,8709,8447.29,8570.85,3088.16,26447147.6
2019-10-09 02-PM,BTCUSD,8246.99,8469.85,8244.86,8452.11,2161.52,18142362.61
2019-10-09 01-PM,BTCUSD,8162.48,8246.99,8162.04,8246.99,587.86,4820488.52
2019-10-09 12-PM,BTCUSD,8193.65,8193.66,8162.02,8162.48,281.67,2302329.94
2019-10-09 11-AM,BTCUSD,8207.91,8207.92,8169,8193.65,427.57,3500598.52
2019-10-09 10-AM,BTCUSD,8195.63,8245,8188.63,8207.91,525.49,4316618.56
2019-10-09 09-AM,BTCUSD,8193.5,8220,8176.29,8195.63,354.3,2904415.19
2019-10-09 08-AM,BTCUSD,8173.42,8193.69,8155.47,8193.5,122.34,999360.29
